anno;O;D;EXPO_20;EXPO_40;IMPO_20;IMPO_40;VACÍOS_20;VACÍOS_40;provincia;DESTINO_PROVINCIA;region;DESTINO_REGION
2013;4;15;0;0;0;0;0;0;Los Andes;Cachapoal;Valparaíso;Libertador General Bernardo O'Higgins
2013;4;16;0;0;0;0;0;0;Los Andes;Colchagua;Valparaíso;Libertador General Bernardo O'Higgins
2013;4;17;0;0;0;0;0;0;Los Andes;Cachapoal;Valparaíso;Libertador General Bernardo O'Higgins
2013;4;18;0;0;0;0;0;0;Los Andes;Santiago;Valparaíso;Santiago
2013;4;19;0;0;0;0;0;0;Los Andes;Santiago;Valparaíso;Santiago
2013;4;20;0;0;0;0;0;0;Los Andes;Santiago;Valparaíso;Santiago
2013;4;21;0;0;0;0;0;0;Los Andes;Santiago;Valparaíso;Santiago
2013;4;22;0;0;0;0;0;0;Los Andes;Santiago;Valparaíso;Santiago
2013;4;23;0;0;0;0;0;0;Los Andes;Santiago;Valparaíso;Santiago
2013;4;24;0;0;0;0;0;0;Los Andes;Santiago;Valparaíso;Santiago
2013;4;25;0;0;0;0;0;0;Los Andes;Santiago;Valparaíso;Santiago
2013;4;26;0;0;0;0;0;0;Los Andes;Santiago;Valparaíso;Santiago
2013;4;27;0;0;0;0;0;0;Los Andes;Santiago;Valparaíso;Santiago
2013;4;28;0;0;0;0;0;0;Los Andes;Santiago;Valparaíso;Santiago
2013;4;29;0;0;0;0;0;0;Los Andes;Santiago;Valparaíso;Santiago
2013;4;30;0;0;0;0;0;0;Los Andes;Santiago;Valparaíso;Santiago
2013;4;31;0;0;0;0;0;0;Los Andes;Santiago;Valparaíso;Santiago
2013;4;32;0;0;0;0;0;0;Los Andes;Santiago;Valparaíso;Santiago
2013;4;33;0;0;0;0;0;0;Los Andes;Santiago;Valparaíso;Santiago
2013;4;34;0;0;0;0;0;0;Los Andes;Santiago;Valparaíso;Santiago
2013;4;35;0;0;0;0;0;0;Los Andes;Santiago;Valparaíso;Santiago
2013;4;36;0;0;0;0;0;0;Los Andes;Santiago;Valparaíso;Santiago
2013;4;37;0;0;0;0;0;0;Los Andes;Santiago;Valparaíso;Santiago
2013;4;38;0;0;0;0;0;0;Los Andes;Santiago;Valparaíso;Santiago
2013;4;39;0;0;0;0;0;0;Los Andes;Santiago;Valparaíso;Santiago
2013;4;40;0;0;0;0;0;0;Los Andes;Santiago;Valparaíso;Santiago
2013;4;41;0;0;0;0;0;0;Los Andes;Santiago;Valparaíso;Santiago
2013;4;42;0;0;0;0;0;0;Los Andes;Santiago;Valparaíso;Santiago
2013;4;43;0;0;0;0;0;0;Los Andes;Santiago;Valparaíso;Santiago
2013;4;44;0;0;0;0;0;0;Los Andes;Santiago;Valparaíso;Santiago
2013;4;45;0;0;0;0;0;0;Los Andes;Santiago;Valparaíso;Santiago
2013;4;46;0;0;0;0;0;0;Los Andes;Santiago;Valparaíso;Santiago
2013;4;47;0;0;0;0;0;0;Los Andes;Melipilla;Valparaíso;Santiago
2013;4;48;0;0;0;0;100,6;166,6;Los Andes;Melipilla;Valparaíso;Santiago
2013;4;49;0;0;0;0;0;0;Los Andes;Santiago;Valparaíso;Santiago
2013;4;50;0;0;0;0;0;0;Los Andes;Talagante;Valparaíso;Santiago
2013;4;51;0;0;0;0;0;0;Los Andes;Santiago;Valparaíso;Santiago
2013;4;52;0;0;0;0;0;0;Los Andes;Choapa;Valparaíso;Coquimbo
2013;4;53;0;0;0;0;0;0;Los Andes;Elqui;Valparaíso;Coquimbo
2013;4;54;0;0;0;0;0;0;Los Andes;Limarí;Valparaíso;Coquimbo
2013;4;55;0;0;0;0;0;0;Los Andes;Curicó;Valparaíso;Maule
2013;4;56;0;0;0;0;0;0;Los Andes;Talca;Valparaíso;Maule
2013;4;57;0;0;0;0;0;0;Los Andes;Linares;Valparaíso;Maule
2013;4;58;0;0;0;0;0;0;Los Andes;Cauquenes;Valparaíso;Maule
2013;4;59;0;0;0;0;0;0;Los Andes;Ñuble;Valparaíso;Bío-Bío
2013;4;60;0;0;0;0;0;0;Los Andes;Concepción;Valparaíso;Bío-Bío
2013;4;61;0;0;0;0;0;0;Los Andes;Biobío;Valparaíso;Bío-Bío
2013;4;62;0;0;0;0;0;0;Los Andes;Arauco;Valparaíso;Bío-Bío
2013;4;63;0;0;0;0;0;0;Los Andes;Arica;Valparaíso;Arica y Parinacota
2013;4;64;0;0;0;0;0;0;Los Andes;Magallanes;Valparaíso;Magallanes y Antártica Chilena
2013;4;777;0;0;0;0;0;0;Los Andes;Ancud;Valparaíso;Los Lagos
2013;5;1;0;0;0;0;0;0;Valparaíso;Petorca;Valparaíso;Valparaíso
2013;5;2;0;0;0;0;0;0;Valparaíso;San Felipe;Valparaíso;Valparaíso
2013;5;3;0;0;0;0;194,1;321,6;Valparaíso;Quillota;Valparaíso;Valparaíso
2013;5;4;0;0;0;0;0;0;Valparaíso;Los Andes;Valparaíso;Valparaíso
2013;5;5;0;0;0;0;0;0;Valparaíso;Valparaíso;Valparaíso;Valparaíso
2013;5;6;4.908,50;9.488,40;0;0;0;0;Valparaíso;Valparaíso;Valparaíso;Valparaíso
2013;5;7;335,6;648,7;0;0;1.152,30;1.909,10;Valparaíso;Valparaíso;Valparaíso;Valparaíso
2013;5;8;0;0;0;0;0;0;Valparaíso;San Antonio;Valparaíso;Valparaíso
2013;5;9;146,7;283,5;0;0;646,6;1.071,20;Valparaíso;San Antonio;Valparaíso;Valparaíso
2013;5;10;0;0;0;0;0;0;Valparaíso;San Antonio;Valparaíso;Valparaíso
2013;5;11;0;0;0;0;0;0;Valparaíso;San Antonio;Valparaíso;Valparaíso
2013;5;12;0;0;0;0;0;0;Valparaíso;Valparaíso;Valparaíso;Valparaíso
2013;5;13;0;0;0;0;0;0;Valparaíso;Cardenal Caro;Valparaíso;Libertador General Bernardo O'Higgins
2013;5;14;0;0;0;0;0;0;Valparaíso;Cachapoal;Valparaíso;Libertador General Bernardo O'Higgins
2013;5;15;0;0;0;0;160;265,1;Valparaíso;Cachapoal;Valparaíso;Libertador General Bernardo O'Higgins
2013;5;16;0;0;0;0;320;530,2;Valparaíso;Colchagua;Valparaíso;Libertador General Bernardo O'Higgins
2013;5;17;0;0;0;0;67,9;112,5;Valparaíso;Cachapoal;Valparaíso;Libertador General Bernardo O'Higgins
2013;5;18;0;0;0;0;130,5;216,2;Valparaíso;Santiago;Valparaíso;Santiago
2013;5;19;0;0;0;0;0;0;Valparaíso;Santiago;Valparaíso;Santiago
2013;5;20;0;0;0;0;65,4;108,4;Valparaíso;Santiago;Valparaíso;Santiago
2013;5;21;0;0;0;0;0;0;Valparaíso;Santiago;Valparaíso;Santiago
2013;5;22;0;0;0;0;0;0;Valparaíso;Santiago;Valparaíso;Santiago
2013;5;23;0;0;0;0;0;0;Valparaíso;Santiago;Valparaíso;Santiago
2013;5;24;0;0;0;0;0;0;Valparaíso;Santiago;Valparaíso;Santiago
2013;5;25;0;0;0;0;65,4;108,4;Valparaíso;Santiago;Valparaíso;Santiago
2013;5;26;0;0;0;0;0;0;Valparaíso;Santiago;Valparaíso;Santiago
2013;5;27;0;0;0;0;0;0;Valparaíso;Santiago;Valparaíso;Santiago
2013;5;28;0;0;0;0;65,3;108,2;Valparaíso;Santiago;Valparaíso;Santiago
2013;5;29;0;0;0;0;0;0;Valparaíso;Santiago;Valparaíso;Santiago
2013;5;30;0;0;0;0;0;0;Valparaíso;Santiago;Valparaíso;Santiago
2013;5;31;0;0;0;0;130,6;216,4;Valparaíso;Santiago;Valparaíso;Santiago
2013;5;32;0;0;0;0;130,8;216,7;Valparaíso;Santiago;Valparaíso;Santiago
2013;5;33;0;0;0;0;0;0;Valparaíso;Santiago;Valparaíso;Santiago
2013;5;34;0;0;0;0;196,2;325,1;Valparaíso;Santiago;Valparaíso;Santiago
2013;5;35;0;0;0;0;0;0;Valparaíso;Santiago;Valparaíso;Santiago
2013;5;36;0;0;0;0;65,4;108,4;Valparaíso;Santiago;Valparaíso;Santiago
2013;5;37;0;0;0;0;196,2;325,1;Valparaíso;Santiago;Valparaíso;Santiago
2013;5;38;0;0;0;0;0;0;Valparaíso;Santiago;Valparaíso;Santiago
2013;5;39;0;0;0;0;261,6;433,5;Valparaíso;Santiago;Valparaíso;Santiago
2013;5;40;0;0;0;0;196,2;325,1;Valparaíso;Santiago;Valparaíso;Santiago
2013;5;41;0;0;0;0;0;0;Valparaíso;Santiago;Valparaíso;Santiago
