TRAFICO INTERNACIONAL CON RELACION A CHILE;;;;;;;;;;;;;
TOTALES POR OPERADORES A„O 2015;;;;;;;;;;;;;
TRAFICO DE PASAJEROS LLEGADOS A CHILE;;;;;;;;;;;;;
;;;;;;;;;;;;;
OPERADORES;ENE;FEB;MAR;ABR;MAY;JUN;JUL;AGO;SEP;OCT;NOV;DIC;TOTAL
AUSTRAL           ;23.439;16.326;21.060;21.333;18.506;15.623;20.523;22.666;21.653;22.841;22.369;21.402;247.741
LAN ARGENTINA     ;0;210;256;254;244;1.610;357;269;459;331;302;181;4.473
LAN PERU          ;22.194;21.086;21.186;18.801;17.777;18.229;15.622;16.380;18.031;24.698;24.080;24.762;242.846
TACA-PERU         ;0;0;0;0;0;0;0;0;0;0;68;0;68
AMASZONAS S.A.    ;1.361;2.160;1.730;1.395;1.456;1.315;2.069;1.770;1.450;1.182;1.433;1.807;19.128
GOL TRANS         ;16.949;15.256;12.689;12.719;12.270;15.651;30.078;23.475;14.884;13.285;13.296;16.667;197.219
T.A.M. LINEAS AEREAS;44.516;42.947;40.350;34.039;33.603;33.896;59.112;54.225;47.796;48.856;42.190;46.761;528.291
T.A.M.            ;5.143;4.410;2.550;2.445;2.499;3.569;5.334;4.450;3.368;3.935;3.026;3.934;44.663
LAN ECUADOR       ;8.692;8.281;8.341;8.080;7.867;7.874;8.464;8.591;8.890;9.216;9.847;9.691;103.834
AVIANCA           ;9.410;14.592;17.745;16.650;20.603;18.404;18.827;19.409;18.982;21.930;20.679;22.085;219.316
L.A.C.S.A.        ;11.154;13.288;10.087;10.033;10.368;8.564;9.360;10.121;9.458;10.171;9.609;10.659;122.872
C.O.P.A.          ;36.453;36.692;31.099;29.564;38.115;34.491;36.050;34.055;33.920;35.395;29.550;34.770;410.154
AEROMEXICO        ;7.674;8.693;7.261;7.486;9.067;6.682;6.919;6.683;5.379;5.830;4.891;6.042;82.607
LATINOAMERICANAS  ;187.608;190.203;175.564;164.264;175.960;173.170;217.263;204.250;185.329;199.973;184.004;201.627;2.259.215
AIR CANADA        ;14.957;12.000;11.328;6.983;7.073;6.367;8.817;8.594;8.582;9.855;14.130;12.954;121.640
AMERICAN AIRLINES ;30.506;27.313;26.544;17.632;20.963;18.008;21.960;20.914;20.490;21.754;20.987;28.922;275.993
DELTA AIRLINES    ;11.812;11.089;11.235;8.832;9.939;9.357;11.578;10.988;9.889;10.805;9.431;10.239;125.194
UNITED AIRLINES   ;10.055;9.043;9.497;7.615;7.697;8.017;9.538;9.112;8.548;9.709;8.900;10.030;107.761
NORTEAMERICANAS   ;67.330;59.445;58.604;41.062;45.672;41.749;51.893;49.608;47.509;52.123;53.448;62.145;630.588
AIR EUROPA        ;3.539;3.611;634;0;0;0;0;0;0;0;0;0;7.784
IBERIA            ;21.512;22.467;20.685;15.282;16.644;18.076;18.496;17.463;17.924;18.703;19.188;21.165;227.605
AIR FRANCE        ;19.751;17.762;18.339;14.433;15.414;17.789;17.841;17.364;18.066;17.784;17.391;17.987;209.921
K.L.M.            ;7.314;5.762;5.221;6.542;5.980;6.780;9.932;7.989;7.406;7.313;7.747;10.087;88.073
EUROPEAS          ;52.116;49.602;44.879;36.257;38.038;42.645;46.269;42.816;43.396;43.800;44.326;49.239;533.383
QANTAS AIRWAYS    ;11.011;9.053;9.297;9.474;8.932;8.016;8.908;8.345;8.601;9.337;9.735;10.359;111.068
PACIFICO SUR      ;11.011;9.053;9.297;9.474;8.932;8.016;8.908;8.345;8.601;9.337;9.735;10.359;111.068
TOTAL GENERAL;757.958;722.870;675.329;606.487;632.977;614.591;731.683;702.226;665.492;712.157;691.990;741.286;8.255.046
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
TRAFICO INTERNACIONAL CON RELACION A CHILE;;;;;;;;;;;;;
TOTALES POR OPERADORES A„O 2015;;;;;;;;;;;;;
TRAFICO DE CARGA EN KILOS LLEGADAS A CHILE;;;;;;;;;;;;;
;;;;;;;;;;;;;
OPERADORES;ENE;FEB;MAR;ABR;MAY;JUN;JUL;AGO;SEP;OCT;NOV;DIC;TOTAL
LAN CARGO            ;1.160.830;1.413.679;1.577.758;1.880.043;1.615.310;1.722.578;1.705.337;1.622.856;1.531.118;1.590.417;1.756.280;1.356.234;18.932.440
LAN AIRLINES         ;3.247.464;3.133.436;3.481.055;3.493.227;3.425.002;3.374.914;3.327.036;3.355.501;3.459.123;3.925.948;3.578.786;3.341.588;41.143.080
LAN EXPRESS       ;4.340;0;0;0;0;0;0;0;0;0;0;0;4.340
SKY AIRLINE       ;0;0;23.468;0;0;0;0;0;0;0;0;7.849;31.317
CHILENAS          ;4.412.634;4.547.115;5.082.281;5.373.270;5.040.312;5.097.492;5.032.373;4.978.357;4.990.241;5.516.365;5.335.066;4.705.671;60.111.177
AEROL. ARGENTINAS ;1.000;117;0;240;0;0;176;0;0;1.454;2.616;2.473;8.076
AUSTRAL           ;59;635;2.692;2.692;2.735;1.120;2.854;234;1.280;10.554;9.922;7.659;42.436
LAN PERU          ;21.589;15.700;20.389;13.057;9.481;13.943;5.162;5.783;24.028;22.909;54.853;46.026;252.920
GOL TRANS         ;0;0;0;0;0;0;0;0;0;0;8.150;24.777;32.927
T.A.M. LINEAS AEREAS;0;0;0;0;0;0;0;0;0;0;3;5;8
LAN ECUADOR       ;3.401;10.804;6.684;14.469;16.286;10.590;8.492;7.717;8.304;7.441;1.831;466;96.485
AVIANCA           ;183.692;222.849;296.051;311.805;294.475;349.955;344.897;265.522;281.010;370.270;364.082;285.931;3.570.539
L.A.C.S.A.        ;0;4.899;24.648;25.227;20.069;22.458;19.296;20.861;18.475;20.288;20.741;20.727;217.689
AEROMEXICO        ;139.696;157.017;199.335;218.736;172.271;190.531;169.966;156.692;145.694;212.823;185.951;167.741;2.116.453
LATINOAMERICANAS  ;349.437;412.021;549.799;586.226;515.317;588.597;550.843;456.809;478.791;645.739;648.149;555.805;6.337.533
AIR CANADA        ;1.279.289;246.040;282.205;173.315;169.987;166.768;128.554;94.188;136.773;190.407;305.336;231.902;3.404.764
AMERICAN AIRLINES ;190.550;233.597;255.574;226.523;278.855;215.877;223.019;344.809;319.145;199.045;336.269;425.107;3.248.370
ATLAS AIR INC.    ;988.841;1.014.320;1.082.519;1.014.793;887.442;1.619.550;956.509;1.171.926;978.500;1.061.130;1.478.912;1.392.304;13.646.746
CENTURION AIR CARGO;0;0;14.436;0;0;0;398.931;115.788;334.758;58.490;44.258;0;966.661
DELTA AIRLINES    ;63.500;56.500;72.000;56.000;62.000;60.000;62.500;108.200;60.000;62.000;60.000;62.000;784.700
