;Economy;Trading Across Borders DTF;Trading Across Borders rank;Time to export: Border compliance (hours);Cost to export: Border compliance (USD);Time to export: Documentary compliance (hours);Cost to export: Documentary compliance (USD);Time to import: Border compliance (hours);Cost to import: Border compliance (USD);Time to import: Documentary compliance (hours);Cost to import: Documentary compliance (USD)
Region;;;;;;;;;;;
;Hong Kong SAR, China;88,94;42;19;282;1;57;19;266;1;57
;Hungary;100;1;0;0;1;0;0;0;1;0
;Iceland;80,27;66;36;655;2;40;24;655;3;0
;India;57,61;143;106;413;38;92;283;574;61;135
;India - Delhi;57,28;;125;453;21;90;262;590;58;140
;India - Mumbai;57,98;;85;368;58;94;307;556;65;129
;Indonesia;65,87;108;53;254;61;139;99;383;133;164
;Indonesia - Jakarta;67,68;;48;250;60;130;80;384;132;160
;Indonesia - Surabaya;59,48;;72;267;66;170;168;376;136;180
;Iran, Islamic Rep;40,66;170;101;565;152;143;141;660;270;197
;Iraq;23,51;179;69;1018;504;1800;131;644;176;900
;Ireland;87,25;47;24;305;1;75;24;253;1;75
;Israel;82,85;59;36;150;13;73;64;307;44;70
;Italy;100;1;0;0;1;0;0;0;1;0
;Jamaica;60,7;131;58;876;47;90;80;906;72;90
;Japan;86,43;49;23;265;2;60;40;299;3;100
;Japan - Osaka;86,26;;20;309;1;72;24;344;4;87
;Japan - Tokyo;86,53;;24;241;3;54;48;275;3;107
;Jordan;86,39;50;38;131;2;16;75;181;55;30
;Kazakhstan;63,19;119;133;574;128;320;2;0;6;0
;Kenya;66,38;105;21;143;19;191;180;833;84;115
;Kiribati;62,08;124;72;420;24;310;96;685;48;120
;Korea, Rep;92,52;32;13;185;1;11;6;315;1;27
;Kosovo;85,93;51;42;137;38;127;16;83;6;42
;Kuwait;50,57;157;72;602;32;191;215;646;120;332
;Kyrgyz Republic;74,91;79;20;445;21;145;37;512;36;200
;Lao PDR;62,98;120;12;73;216;235;14;153;216;115
;Latvia;95,26;25;24;150;2;35;0;0;1;0
;Lebanon;59,71;134;96;410;48;100;180;695;72;135
;Lesotho;91,6;39;4;150;3;90;5;150;3;90
;Liberia;17,64;185;193;755;186;628;217;660;192;528
;Libya;64,66;114;72;575;72;50;79;637;96;60
;Lithuania;97,7;19;9;58;3;28;0;0;1;0
;Luxembourg;100;1;0;0;1;0;0;0;1;0
;Macedonia, FYR;93,87;27;9;103;2;45;8;150;3;50
;Madagascar;60,95;129;70;868;49;117;99;595;58;150
;Malawi;63,32;118;85;243;83;342;64;143;63;162
;Malaysia;82,38;60;48;321;10;45;72;321;10;60
;Maldives;55,87;147;42;596;48;300;100;981;61;180
;Mali;70,79;89;48;242;48;33;98;298;77;375
;Malta;91,01;40;24;325;3;25;2;230;1;0
;Marshall Islands;80,59;64;60;220;24;20;84;220;60;43
;Mauritania;58,82;137;72;749;51;92;84;582;64;400
;Mauritius;78,67;74;48;303;9;128;51;372;9;166
;Mexico;82,09;61;20;400;8;60;44;450;18;100
;Mexico - Mexico City;82,09;;20;400;8;60;44;450;18;100
;Mexico - Monterrey;82,09;;20;400;8;60;44;450;18;100
;Micronesia, Fed Sts;84;57;36;168;26;60;56;180;35;80
;Moldova;92,32;34;3;76;48;44;4;83;2;41
;Mongolia;66,89;103;62;191;168;64;48;210;115;83
;Montenegro;88,75;43;8;158;5;67;23;306;10;100
;Morocco;81,12;63;19;156;26;107;106;228;26;116
;Mozambique;66,31;106;78;602;70;220;14;354;24;171
;Myanmar;47,4;159;144;432;144;140;232;457;48;210
;Namibia;61,47;127;120;745;90;348;6;145;3;63
;Nepal;79,75;69;56;288;19;85;61;190;48;80
;Netherlands;100;1;0;0;1;0;0;0;1;0
;New Zealand;84,55;55;38;337;3;67;25;367;1;80
;Nicaragua;78,99;73;60;150;48;47;72;400;16;86
;Niger;60,48;132;48;543;51;39;78;462;156;457
;Nigeria;19,93;181;135;786;131;250;284;1077;173;564
;Nigeria - Kano;19,93;;135;786;131;250;284;1077;173;564
;Nigeria - Lagos;19,93;;135;786;131;250;284;1077;173;564
;Norway;96,97;22;2;125;2;0;2;125;2;0
;Oman;80,17;67;52;223;22;107;70;354;23;20
;Pakistan;39,41;172;75;426;59;307;129;957;147;786
;Pakistan - Karachi;39,41;;75;426;59;307;129;957;147;786
