TRAFICO INTERNACIONAL CON RELACION A CHILE;;;;;;;;;;;;;
TOTALES POR OPERADORES AÑO 2017;;;;;;;;;;;;;
TRAFICO DE PASAJEROS LLEGADOS A CHILE;;;;;;;;;;;;;
;;;;;;;;;;;;;
OPERADORES;ENE;FEB;MAR;ABR;MAY;JUN;JUL;AGO;SEP;OCT;NOV;DIC;TOTAL
L.A.C.S.A.        ;63;57;27;38;6;0;0;0;0;0;0;0;191
AEROMEXICO        ;1.341;1.374;1.805;1.812;2.288;0;0;0;0;0;0;0;8.620
LATINOAMERICANAS  ;6.687;6.427;7.006;7.122;8.051;0;0;0;0;0;0;0;35.290
AIR CANADA        ;2.051;1.876;1.680;1.350;1.399;0;0;0;0;0;0;0;8.357
AMERICAN AIRLINES ;3.622;3.115;3.517;3.568;3.867;0;0;0;0;0;0;0;17.688
ATLAS AIR INC.    ;8.482;7.483;7.883;7.789;7.290;0;0;0;0;0;0;0;38.928
DELTA AIRLINES    ;372;410;353;365;326;0;0;0;0;0;0;0;1.827
FLORIDA WEST AIRLINES;925;1.265;0;0;0;0;0;0;0;0;0;0;2.190
SKY LEASE CARGO   ;5.238;4.732;4.566;3.672;1.774;0;0;0;0;0;0;0;19.982
UNITED AIRLINES   ;1.364;1.261;1.283;1.496;1.385;0;0;0;0;0;0;0;6.789
UPS UNITED PARCEL SERVICE;511;534;570;448;468;0;0;0;0;0;0;0;2.529
NORTEAMERICANAS   ;22.565;20.676;19.852;18.688;16.509;0;0;0;0;0;0;0;98.290
IBERIA            ;2.674;3.608;3.871;3.616;3.664;0;0;0;0;0;0;0;17.432
AIR FRANCE        ;2.048;1.087;1.867;2.216;2.326;0;0;0;0;0;0;0;9.544
ALITALIA          ;1.013;588;1.688;1.899;1.466;0;0;0;0;0;0;0;6.653
BRITISH AIRWAYS   ;474;472;834;1.351;2.073;0;0;0;0;0;0;0;5.204
K.L.M.            ;1.605;1.382;1.679;1.663;2.168;0;0;0;0;0;0;0;8.498
MARTINAIR HOLLAND ;6.553;6.629;7.426;7.421;7.603;0;0;0;0;0;0;0;35.632
EUROPEAS          ;14.367;13.766;17.365;18.166;19.300;0;0;0;0;0;0;0;82.963
KOREAN AIR        ;156;776;617;591;984;0;0;0;0;0;0;0;3.124
ASIATICAS         ;156;776;617;591;984;0;0;0;0;0;0;0;3.124
QANTAS AIRWAYS    ;1.557;1.004;1.533;1.261;1.300;0;0;0;0;0;0;0;6.656
PACIFICO SUR      ;1.557;1.004;1.533;1.261;1.300;0;0;0;0;0;0;0;6.656
TOTAL GENERAL;67.668;64.362;74.663;74.283;76.059;0;0;0;0;0;0;0;357.029
;;;;;;;;;;;;;
;;;;;;;;;;;;;
TRAFICO INTERNACIONAL CON RELACION A CHILE;;;;;;;;;;;;;
TOTALES POR OPERADORES AÑO 2017;;;;;;;;;;;;;
TRAFICO DE TONELADAS DE CARGA-KILOMETROS (en Miles) SALIDAS DESDE CHILE;;;;;;;;;;;;;
;;;;;;;;;;;;;
OPERADORES;ENE;FEB;MAR;ABR;MAY;JUN;JUL;AGO;SEP;OCT;NOV;DIC;TOTAL
LATAM CARGO            ;7.818;5.001;3.488;3.118;4.392;0;0;0;0;0;0;0;23.817
LATAM AIRLINES GROUP         ;36.109;32.720;31.438;32.979;29.800;0;0;0;0;0;0;0;163.053
LATAM AIRLINES CHILE       ;89;346;386;21;286;0;0;0;0;0;0;0;1.127
SKY AIRLINE       ;62;61;83;78;96;0;0;0;0;0;0;0;380
CHILENAS          ;44.078;38.128;35.395;36.196;34.574;0;0;0;0;0;0;0;188.377
AEROL. ARGENTINAS ;10;8;5;18;16;0;0;0;0;0;0;0;56
AUSTRAL           ;0;0;0;0;1;0;0;0;0;0;0;0;1
LATAM AIRLINES ARGENTINA     ;0;0;0;0;0;0;0;0;0;0;0;0;1
LATAM AIRLINES PERU          ;1;1;2;2;0;0;0;0;0;0;0;0;6
LATAM CARGO BRASIL;1.512;1.730;2.038;2.001;1.946;0;0;0;0;0;0;0;9.228
GOL TRANS         ;21;8;15;18;2;0;0;0;0;0;0;0;65
OCEANAIR LINHAS AEREAS;2.452;3.174;2.359;1.379;1.568;0;0;0;0;0;0;0;10.929
LATAM AIRLINES BRASIL;1.614;1.398;1.045;661;1.297;0;0;0;0;0;0;0;6.016
LATAM AIRLINES PARAGUAY            ;24;15;26;14;26;0;0;0;0;0;0;0;105
LATAM AIRLINES ECUADOR       ;21;9;17;7;16;0;0;0;0;0;0;0;70
AVIANCA           ;1.339;1.177;984;790;889;0;0;0;0;0;0;0;5.180
L.A.C.S.A.        ;56;27;47;37;24;0;0;0;0;0;0;0;192
C.O.P.A.          ;191;373;128;93;88;0;0;0;0;0;0;0;873
AEROMEXICO        ;2.934;2.732;2.936;3.189;2.087;0;0;0;0;0;0;0;13.877
LATINOAMERICANAS  ;10.175;10.652;9.602;8.209;7.960;0;0;0;0;0;0;0;46.599
AIR CANADA        ;2.552;2.734;1.797;1.288;1.334;0;0;0;0;0;0;0;9.705
AMERICAN AIRLINES ;6.357;6.302;7.319;6.128;5.604;0;0;0;0;0;0;0;31.711
ATLAS AIR INC.    ;15.945;14.715;18.292;19.019;15.632;0;0;0;0;0;0;0;83.603
DELTA AIRLINES    ;2.092;1.765;1.496;2.446;1.583;0;0;0;0;0;0;0;9.382
FLORIDA WEST AIRLINES;679;885;0;0;0;0;0;0;0;0;0;0;1.564
SKY LEASE CARGO   ;6.790;4.226;5.547;1.802;221;0;0;0;0;0;0;0;18.587
UNITED AIRLINES   ;1.643;1.785;1.447;1.451;1.480;0;0;0;0;0;0;0;7.806
UPS UNITED PARCEL SERVICE;35;25;15;3;2;0;0;0;0;0;0;0;80
NORTEAMERICANAS   ;36.093;32.437;35.913;32.137;25.856;0;0;0;0;0;0;0;162.438
IBERIA            ;4.012;3.538;3.157;3.009;2.368;0;0;0;0;0;0;0;16.084
AIR FRANCE        ;1.670;2.158;2.563;1.566;2.063;0;0;0;0;0;0;0;10.021
ALITALIA          ;1.263;1.112;529;739;576;0;0;0;0;0;0;0;4.219
BRITISH AIRWAYS   ;746;1.035;85;495;1.146;0;0;0;0;0;0;0;3.508
K.L.M.            ;952;1.524;1.131;941;1.290;0;0;0;0;0;0;0;5.839
MARTINAIR HOLLAND ;369;393;877;891;549;0;0;0;0;0;0;0;3.079
EUROPEAS          ;9.012;9.760;8.342;7.641;7.992;0;0;0;0;0;0;0;42.750
KOREAN AIR        ;12.643;9.376;5.750;3.881;4.553;0;0;0;0;0;0;0;36.203
ASIATICAS         ;12.643;9.376;5.750;3.881;4.553;0;0;0;0;0;0;0;36.203
QANTAS AIRWAYS    ;956;917;339;603;547;0;0;0;0;0;0;0;3.362
PACIFICO SUR      ;956;917;339;603;547;0;0;0;0;0;0;0;3.362
TOTAL GENERAL;112.957;101.270;95.341;88.667;81.482;0;0;0;0;0;0;0;479.729
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
TRAFICO INTERNACIONAL CON RELACION A CHILE;;;;;;;;;;;;;
TOTALES POR OPERADORES AÑO 2017;;;;;;;;;;;;;
TRAFICO DE TONELADAS DE CARGA-KILOMETROS (en Miles) TOTALES (Llegadas+Salidas) CON CHILE;;;;;;;;;;;;;
;;;;;;;;;;;;;
OPERADORES;ENE;FEB;MAR;ABR;MAY;JUN;JUL;AGO;SEP;OCT;NOV;DIC;TOTAL
LATAM CARGO            ;11.390;9.507;10.807;10.689;12.153;0;0;0;0;0;0;0;54.546
LATAM AIRLINES GROUP         ;54.813;49.844;52.213;53.575;51.819;0;0;0;0;0;0;0;262.267
LATAM AIRLINES CHILE       ;125;396;558;262;373;0;0;0;0;0;0;0;1.713
SKY AIRLINE       ;89;90;105;120;148;0;0;0;0;0;0;0;552
CHILENAS          ;66.417;59.837;63.683;64.646;64.493;0;0;0;0;0;0;0;319.078
AEROL. ARGENTINAS ;29;34;28;41;48;0;0;0;0;0;0;0;180
AUSTRAL           ;0;0;0;0;1;0;0;0;0;0;0;0;1
LATAM AIRLINES ARGENTINA     ;0;0;0;0;0;0;0;0;0;0;0;0;1
LATAM AIRLINES PERU          ;85;79;25;108;57;0;0;0;0;0;0;0;354
LATAM CARGO BRASIL;2.136;2.342;2.926;2.854;2.992;0;0;0;0;0;0;0;13.249
GOL TRANS         ;92;147;138;144;123;0;0;0;0;0;0;0;644
OCEANAIR LINHAS AEREAS;5.199;5.099;4.612;3.722;4.011;0;0;0;0;0;0;0;22.642
LATAM AIRLINES BRASIL;2.382;2.383;1.839;1.102;2.161;0;0;0;0;0;0;0;9.869
LATAM AIRLINES PARAGUAY            ;39;31;35;19;51;0;0;0;0;0;0;0;176
LATAM AIRLINES ECUADOR       ;43;36;35;16;44;0;0;0;0;0;0;0;173
AVIANCA           ;2.271;2.364;2.026;2.154;2.031;0;0;0;0;0;0;0;10.846
L.A.C.S.A.        ;120;84;74;75;30;0;0;0;0;0;0;0;383
