TRAFICO INTERNACIONAL CON RELACION A CHILE;;;;;;;;;;;;
TRAFICO POR OPERADOR POR PARES DE CIUDADES;;;;;;;;;;;;
PASAJEROS LLEGADOS A CHILE;;;;;;;;;;;;
;;;;;;;;;;;;
OPERADOR;LLEGAN:;DESDE:;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
TRAFICO INTERNACIONAL CON RELACION A CHILE;;;;;;;;;;;;
TRAFICO POR OPERADOR POR PARES DE CIUDADES;;;;;;;;;;;;
PASAJEROS-KILOMETROS (en Miles) LLEGADOS A CHILE;;;;;;;;;;;;
;;;;;;;;;;;;
OPERADOR;LLEGAN:;DESDE:;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014
PAL AIRLINES;A SANTIAGO;DE BUENOS AIRES    ;0;0;0;0;0;0;270;0;0;0
 ; ;DE CORDOBA         ;0;0;0;0;0;578;0;0;0;0
 ; ;DE MENDOZA         ;0;0;0;0;0;0;413;0;19;0
 ; ;DE SAN JUAN, ARG.  ;0;0;0;0;0;0;288;0;0;0
 ; ;DE USHUAIA, ARG.   ;0;0;0;1.131;0;0;0;0;0;0
 ; ;DE LIMA            ;0;0;0;0;0;162;0;0;0;0
 ; ;DE CURITIBA        ;0;0;0;411;0;0;0;0;0;1.209
 ; ;DE FLORIANAPOLIS   ;0;0;0;25.120;4.085;18.255;11.899;6.081;9.382;5.736
 ; ;DE IGUASSU, BRASIL ;0;0;0;2.382;823;1.339;1.038;1.296;1.040;1.147
 ; ;DE MACEIO, BRASIL  ;0;0;0;2.252;0;4.450;0;0;0;0
 ; ;DE PORTO ALEGRE    ;0;0;0;0;0;0;0;0;0;281
 ; ;DE RIO DE JANEIRO  ;0;0;0;5.630;0;0;0;411;408;560
 ; ;DE SALVADOR BAHIA  ;0;0;0;8.534;0;0;0;0;0;0
 ; ;DE SAO PAULO       ;0;0;0;0;0;0;0;0;0;2.133
 ; ;DE ASUNCION        ;0;0;0;0;578;0;74;595;394;0
 ; ;DE MONTEVIDEO      ;0;0;0;0;0;0;362;0;0;191
 ; ;DE PTA. DEL ESTE   ;0;0;0;0;0;913;0;0;0;0
 ; ;DE GUAYAQUIL       ;0;0;0;17.256;0;0;0;0;0;0
 ; ;DE MANTA           ;0;0;0;480;0;0;0;0;0;0
 ; ;DE VARADERO        ;0;0;0;0;0;10.080;12.625;21.882;15.985;18.220
 ; ;DE PUNTA CANA, R.D.;0;0;0;0;0;12.829;17.429;30.010;30.970;30.218
 ; ;DE SANTO DOMINGO   ;0;0;0;0;0;4.572;14.414;0;0;0
 ; ;DE CANCUN, MEX.    ;0;0;0;0;0;16.326;31.087;31.357;30.691;32.080
 ; ;DE JOHANNESBURG    ;0;0;0;0;0;4.483;0;0;0;0
 ;A ANTOFAGASTA;DE FLORIANAPOLIS   ;0;0;0;0;0;34;0;0;0;0
TOTAL;INTERNACIONAL DE;PAL AIRLINES;0;0;0;63.196;5.486;74.021;89.899;91.632;88.889;91.775
AEROLINEAS DEL SUR;A SANTIAGO;DE BUENOS AIRES    ;212;0;0;0;0;0;0;0;0;0
 ; ;DE USHUAIA, ARG.   ;0;342;0;0;0;0;0;0;0;0
TOTAL;INTERNACIONAL DE;AEROLINEAS DEL SUR;212;342;0;0;0;0;0;0;0;0
AEROVIAS D.A.P.   ;A SANTIAGO;DE ASUNCION        ;0;0;0;0;0;0;0;0;77;0
 ;A PUNTA ARENAS;DE COM. RIVADAVIA  ;0;0;0;0;0;0;0;20;0;0
 ; ;DE EL CALAFATE     ;0;0;0;0;0;9;0;69;9;1
 ; ;DE RIO GALLEGOS ARG;39;0;203;1;1;0;0;0;0;0
 ; ;DE RIO GRANDE, ARG.;2;1;1;0;0;2;0;1;1;0
 ; ;DE USHUAIA, ARG.   ;58;16;16;6;7;11;2;21;0;2
 ; ;DE PTO.STANLEY     ;0;0;0;2;0;2;0;0;0;0
TOTAL;INTERNACIONAL DE;AEROVIAS D.A.P.   ;99;17;220;9;8;24;2;111;87;3
LAN AIRLINES         ;A SANTIAGO;DE BARILOCHE       ;8.148;7.009;6.712;1.490;0;0;0;0;134;0
 ; ;DE BUENOS AIRES    ;392.718;370.939;383.655;318.036;217.664;251.201;369.857;357.952;349.362;396.424
 ; ;DE CORDOBA         ;29.753;30.594;33.608;37.343;40.090;34.104;45.141;56.136;58.910;53.640
 ; ;DE EL CALAFATE     ;0;0;0;0;0;0;0;304;0;0
 ; ;DE IGUAZU, ARG.    ;0;0;0;0;0;0;158;0;0;0
 ; ;DE MENDOZA         ;10.967;10.856;13.366;13.853;17.239;21.289;24.250;26.982;26.181;24.997
 ; ;DE PUERTO MADRYN   ;0;0;104;0;0;0;0;0;0;0
 ; ;DE RIO GALLEGOS ARG;4;10;6;17;8;8;27;4;2;6
 ; ;DE ROSARIO, ARG.   ;16.454;14.224;14.244;12.258;0;0;0;0;0;0
 ; ;DE SALTA, ARG.     ;171;153;39;70;71;65;79;73;156;268
 ; ;DE USHUAIA, ARG.   ;8.963;9.477;12.936;12.173;7.764;4.695;1.973;847;610;0
 ; ;DE CUZCO, PERU     ;0;0;0;0;0;0;0;240;0;0
 ; ;DE LIMA            ;222.530;275.135;334.173;384.629;416.825;471.919;474.666;717.079;739.918;707.258
 ; ;DE LA PAZ          ;20.105;31.312;30.105;30.478;26.306;17.804;17.112;24.385;30.368;33.874
 ; ;DE SANTA CRUZ, BOL.;0;6.206;9.742;13.756;15.348;12.372;14.018;20.142;21.753;24.800
 ; ;DE BELO HORIZONTE  ;0;0;0;0;0;487;0;0;0;0
 ; ;DE BRASILIA        ;623;0;0;0;0;0;0;0;0;0
 ; ;DE CABO FRIO, BRASI;0;0;0;0;0;0;0;565;0;0
 ; ;DE FLORIANAPOLIS   ;0;260;10.676;9.236;4.767;3.001;4.645;10.768;7.187;13.876
 ; ;DE PORTO ALEGRE    ;255;0;201;0;0;0;0;0;0;0
 ; ;DE RIO DE JANEIRO  ;47.862;85.784;172.857;117.401;63.260;68.594;122.013;292.534;225.431;312.330
 ; ;DE SALVADOR BAHIA  ;21.862;7.532;6.946;0;0;0;0;0;0;4.868
 ; ;DE SAO PAULO       ;80.456;142.780;247.974;274.168;254.341;291.394;368.225;659.899;513.559;540.226
 ; ;DE ASUNCION        ;0;0;0;0;256;0;0;0;0;0
 ; ;DE MONTEVIDEO      ;50.651;56.630;59.285;59.163;76.521;80.093;96.522;111.302;135.071;129.306
 ; ;DE PTA. DEL ESTE   ;223;0;0;2.237;233;0;0;0;0;0
 ; ;DE GUAYAQUIL       ;52.790;24.240;4.454;6.102;6.962;9.938;8.718;6.502;3.943;17.137
 ; ;DE QUITO           ;60.995;26.735;0;0;0;0;635;0;0;0
 ; ;DE BARRANQUILLA    ;0;0;0;0;0;0;0;0;1.092;0
 ; ;DE BOGOTA          ;71.146;79.886;80.205;82.150;82.133;120.810;169.175;259.504;266.355;184.711
 ; ;DE MEDELLIN        ;0;0;0;0;385;0;0;0;0;0
 ; ;DE BARCELONA VENEZ.;0;0;0;0;0;0;0;863;0;0
 ; ;DE CARACAS         ;66.322;68.215;77.199;81.230;75.615;65.851;71.554;77.468;86.359;30.037
 ; ;DE MOUNT PLEASANT  ;0;0;0;0;0;0;0;250;954;2.114
 ; ;DE PTO.STANLEY     ;5.931;6.264;6.894;4.415;3.232;4.475;4.277;3.960;3.114;1.609
 ; ;DE LA HAVANA       ;82.718;52.268;30.316;23.146;28.343;12.796;6.289;0;0;0
 ; ;DE PUNTA CANA, R.D.;70.209;63.939;52.670;59.697;72.238;54.421;53.912;77.254;77.415;80.432
 ; ;DE C. DE MEXICO    ;407.101;446.543;436.040;454.450;366.612;402.338;430.262;454.601;479.159;458.113
 ; ;DE CANCUN, MEX.    ;94.405;44.384;39.621;43.944;43.900;51.950;59.246;86.971;99.463;95.668
 ; ;DE TORONTO         ;0;0;0;18.068;41.271;33.109;13.306;0;0;0
 ; ;DE LOS ANGELES     ;300.812;310.412;414.705;439.894;305.006;256.128;269.732;204.933;279.709;236.856
 ; ;DE LOS ANGELES, US.;0;0;0;0;0;0;0;0;0;51.842
 ; ;DE MIAMI           ;457.633;451.320;477.952;458.957;485.576;532.945;572.657;712.450;740.406;728.756
 ; ;DE NUEVA YORK      ;183.886;197.519;254.772;317.969;343.579;352.494;491.706;512.384;500.506;508.260
 ; ;DE ORLANDO, US.    ;0;0;0;0;0;0;0;4.580;5.465;0
 ; ;DE FRANKFURT       ;191.138;208.490;190.606;166.918;162.698;155.334;138.357;164.923;90.025;140.279
 ; ;DE MADRID          ;688.610;660.496;723.343;728.494;734.995;815.106;810.618;774.044;715.653;760.742
 ; ;DE PARIS           ;0;0;0;0;0;20.120;31.574;0;0;0
 ; ;DE ROMA            ;2.650;0;0;0;0;0;0;0;0;0
 ; ;DE CAPE TOWN       ;0;0;0;0;0;5.548;0;0;0;0
 ; ;DE JOHANNESBURG    ;0;0;0;0;0;5.320;0;0;0;0
 ; ;DE SYDNEY          ;285.665;350.059;421.911;479.459;385.877;334.915;335.799;463.681;262.711;345.967
 ; ;DE AUCKLAND N.Z.   ;217.675;300.668;324.072;336.150;323.175;341.417;352.424;338.330;369.056;407.566
 ; ;DE PAPEETE         ;50.308;61.958;67.997;66.816;56.965;57.226;42.946;40.465;37.049;35.377
 ;A ARICA;DE LA PAZ          ;820;353;0;0;0;0;0;0;0;0
 ;A IQUIQUE;DE SALTA, ARG.     ;630;467;496;670;663;704;1.112;1.416;2.132;1.516
 ; ;DE LIMA            ;0;0;0;0;9.051;3.596;0;0;0;0
 ; ;DE LA PAZ          ;2.044;1.659;2.297;2.156;1.852;3.241;2.689;3.623;3.055;3.130
 ; ;DE SANTA CRUZ, BOL.;0;1.380;3.415;3.795;4.315;7.433;8.016;7.001;8.038;7.021
 ; ;DE SAO PAULO       ;0;0;0;0;0;373;0;0;0;0
 ; ;DE C. DE MEXICO    ;0;0;0;0;0;0;0;1.100;0;0
 ; ;DE MIAMI           ;458;0;0;0;0;0;0;0;0;0
 ; ;DE NUEVA YORK      ;0;0;0;0;0;833;0;0;0;0
 ;A ANTOFAGASTA;DE SALTA, ARG.     ;57;51;103;0;0;0;0;0;0;0
 ; ;DE SANTA CRUZ, BOL.;0;0;67;0;0;0;0;0;0;0
 ; ;DE SAO PAULO       ;0;0;0;0;0;361;0;0;0;0
 ;A CALAMA;DE JUJUY, ARG.     ;0;0;0;0;0;0;62;0;0;0
 ; ;DE SAO PAULO       ;0;0;97;0;0;0;0;0;0;0
 ;A LA SERENA;DE BUENOS AIRES    ;0;0;0;0;0;179;0;0;0;0
 ; ;DE FLORIANAPOLIS   ;0;0;0;0;0;0;0;0;0;372
 ;A ISLA DE PASCUA;DE LIMA            ;734;0;0;0;0;0;15.514;50.595;6.478;0
 ; ;DE PAPEETE         ;31.063;33.105;29.355;28.200;29.393;27.767;14.427;15.824;14.597;17.438
 ;A CONCEPCION;DE BUENOS AIRES    ;0;44;0;0;0;0;0;0;0;0
 ; ;DE LIMA            ;0;0;22;0;0;0;0;295;0;0
 ; ;DE FLORIANAPOLIS   ;0;0;0;0;0;0;0;0;0;421
 ;A PUERTO MONTT;DE BARILOCHE       ;72;68;43;22;0;0;0;0;0;0
 ; ;DE PUERTO MADRYN   ;0;0;26;0;0;0;0;0;0;0
 ; ;DE USHUAIA, ARG.   ;674;908;586;0;0;0;0;0;0;0
 ; ;DE PTO.STANLEY     ;427;399;215;0;0;0;0;0;0;0
 ;A PUNTA ARENAS;DE PUERTO MADRYN   ;0;0;644;0;0;0;0;0;0;0
 ; ;DE RIO GALLEGOS ARG;0;0;9;0;1;7;1;1;2;2
 ; ;DE USHUAIA, ARG.   ;634;501;708;692;411;192;0;0;0;0
 ; ;DE SAO PAULO       ;783;0;0;0;0;0;0;0;0;0
 ; ;DE MOUNT PLEASANT  ;0;0;41;0;0;0;0;52;306;1.044
 ; ;DE PTO.STANLEY     ;780;786;992;1.355;1.362;1.513;1.409;1.287;1.308;674
TOTAL;INTERNACIONAL DE;LAN AIRLINES         ;4.240.915;4.442.018;4.978.502;5.091.057;4.706.303;4.935.466;5.445.103;6.543.569;6.162.992;6.358.957
LAN EXPRESS       ;A SANTIAGO;DE BARILOCHE       ;0;85;0;0;0;0;0;0;0;0
 ; ;DE BUENOS AIRES    ;0;0;0;0;0;0;180;4.361;0;0
 ; ;DE CORDOBA         ;0;0;0;0;0;0;65;0;0;0
 ; ;DE EL CALAFATE     ;0;0;0;0;0;0;383;0;0;0
 ; ;DE MENDOZA         ;0;0;0;0;2;0;0;0;0;0
 ; ;DE LIMA            ;0;0;0;0;0;0;0;8.321;0;0
 ; ;DE COCHABAMBA      ;0;0;0;0;222;0;0;0;0;0
 ; ;DE CUIABA, BRASIL  ;0;0;0;0;0;0;0;0;0;372
 ; ;DE RIO DE JANEIRO  ;82.853;88.883;88.871;83.150;100.469;92.885;92.609;0;0;0
 ; ;DE SALVADOR BAHIA  ;0;0;0;0;885;0;0;0;0;0
 ; ;DE SAO PAULO       ;94.526;95.596;97.175;114.030;88.213;92.789;104.124;0;0;0
 ; ;DE PTO.STANLEY     ;0;0;0;112;0;0;0;0;0;0
 ;A PUNTA ARENAS;DE PTO.STANLEY     ;0;0;0;17;0;0;0;0;0;0
TOTAL;INTERNACIONAL DE;LAN EXPRESS       ;177.379;184.564;186.046;197.309;189.791;185.674;197.361;12.682;0;372
SKY AIRLINE       ;A SANTIAGO;DE BARILOCHE       ;366;0;202;0;0;0;0;104;184;0
 ; ;DE BUENOS AIRES    ;1.976;1.896;935;575;0;5.839;51.876;71.463;101.542;104.256
 ; ;DE IGUAZU, ARG.    ;0;0;0;186;0;0;0;0;0;0
 ; ;DE MAR DEL PLATA   ;0;0;0;0;0;0;0;0;242;0
 ; ;DE MENDOZA         ;37;0;23;11;0;0;0;0;0;0
 ; ;DE SALTA, ARG.     ;0;0;0;0;0;0;1;0;0;0
 ; ;DE SAN LUIS        ;0;0;0;0;0;0;0;0;265;0
 ; ;DE AREQUIPA        ;0;0;170;4.990;4.454;4.188;5.396;6.218;2.733;0
 ; ;DE LIMA            ;0;0;0;0;0;3.546;33.425;66.804;91.108;114.880
 ; ;DE LA PAZ          ;0;0;0;0;3.724;11.788;18.809;21.609;22.916;26.730
 ; ;DE BELO HORIZONTE  ;0;0;0;0;0;0;0;1.475;1.349;0
 ; ;DE CABO FRIO, BRASI;0;0;0;0;0;1.063;0;4.455;3.824;6.426
 ; ;DE FLORIANAPOLIS   ;7.167;12.236;8.868;4.047;2.277;15.870;19.257;39.551;35.650;19.691
 ; ;DE IGUASSU, BRASIL ;1.285;0;786;0;605;0;209;551;537;580
 ; ;DE PORTO ALEGRE    ;0;0;0;437;0;0;0;211;0;271
 ; ;DE PORTO SEGURO    ;0;0;866;0;0;0;0;0;0;0
 ; ;DE RIO DE JANEIRO  ;0;0;660;0;0;0;0;0;0;0
 ; ;DE SALVADOR BAHIA  ;0;0;262;0;0;0;0;0;0;0
 ; ;DE SAO PAULO       ;0;0;781;0;0;0;0;0;0;99.574
 ; ;DE ASUNCION        ;0;0;0;0;0;0;0;0;187;0
 ; ;DE MONTEVIDEO      ;478;0;291;8;0;0;3;0;0;34
 ; ;DE PTA. DEL ESTE   ;0;0;0;0;0;0;3.426;2.361;1.835;0
 ; ;DE GUAYAQUIL       ;0;0;1.723;0;0;0;0;0;0;0
 ;A ARICA;DE AREQUIPA        ;0;0;19;641;373;450;478;531;279;0
 ; ;DE LA PAZ          ;0;0;0;0;498;1.188;1.006;1.471;2.161;0
 ;A IQUIQUE;DE IGUAZU, ARG.    ;0;0;0;989;0;0;0;0;0;0
 ; ;DE SALTA, ARG.     ;0;0;0;113;0;0;0;0;0;0
 ; ;DE AREQUIPA        ;0;0;20;562;349;877;539;0;0;0
 ; ;DE LA PAZ          ;0;0;0;0;0;81;1.226;2.442;2.744;2.501
 ;A ANTOFAGASTA;DE SALTA, ARG.     ;0;0;0;0;0;0;81;0;0;0
 ; ;DE AREQUIPA        ;0;0;19;1.177;720;0;369;1.336;842;0
 ; ;DE LIMA            ;0;0;0;0;0;489;6.445;8.517;12.013;6.785
 ; ;DE LA PAZ          ;0;0;0;0;511;894;751;0;0;0
 ;A CALAMA;DE IGUAZU, ARG.    ;0;0;0;175;0;0;0;0;0;0
 ; ;DE AREQUIPA        ;0;0;0;3;50;0;0;0;0;0
 ;A CONCEPCION;DE BUENOS AIRES    ;0;0;0;0;0;0;0;0;0;156
 ; ;DE FLORIANAPOLIS   ;0;0;0;0;0;258;419;401;795;0
 ; ;DE SAO PAULO       ;0;0;0;0;0;0;0;0;0;491
 ;A ARICA;DE LA PAZ          ;0;0;0;0;0;0;0;0;0;2.226
TOTAL;INTERNACIONAL DE;SKY AIRLINE       ;11.309;14.132;15.625;13.914;13.561;46.531;143.716;229.500;281.206;384.601
TOTALES;LINEAS AEREAS;CHILENAS          ;4.429.914;4.641.073;5.180.393;5.365.485;4.915.149;5.241.716;5.876.081;6.877.494;6.533.174;6.835.708
AEROL. ARGENTINAS ;A SANTIAGO;DE BUENOS AIRES    ;141.310;110.701;119.469;89.762;81.851;109.015;104.037;39.477;57.516;41.858
 ; ;DE CORDOBA         ;0;0;0;0;0;0;0;0;0;84
 ; ;DE MENDOZA         ;0;0;0;0;0;63;2.600;1.250;1.687;789
TOTAL;INTERNACIONAL DE;AEROL. ARGENTINAS ;141.310;110.701;119.469;89.762;81.851;109.078;106.637;40.727;59.203;42.731
AUSTRAL           ;A SANTIAGO;DE BARILOCHE       ;0;0;0;0;0;0;0;0;61;0
 ; ;DE BUENOS AIRES    ;0;2.146;220;1.380;0;0;0;49.487;73.115;100.287
 ; ;DE MENDOZA         ;0;0;0;0;0;0;0;3.198;2.864;211
TOTAL;INTERNACIONAL DE;AUSTRAL           ;0;2.146;220;1.380;0;0;0;52.685;76.040;100.498
LAN ARGENTINA     ;A SANTIAGO;DE BUENOS AIRES    ;0;9.789;23.797;17.462;66.027;82.112;42.388;82.598;56.058;24.912
 ; ;DE CORDOBA         ;0;0;0;0;0;6.834;0;0;0;0
 ; ;DE MENDOZA         ;0;0;0;0;0;47;0;0;0;0
TOTAL;INTERNACIONAL DE;LAN ARGENTINA     ;0;9.789;23.797;17.462;66.027;88.993;42.388;82.598;56.058;24.912
LINEA A.DEL ESTADO;A SANTIAGO;DE GUAYAQUIL       ;0;144;0;0;0;0;0;0;0;0
 ; ;DE QUITO           ;0;325;0;0;0;0;0;0;0;0
TOTAL;INTERNACIONAL DE;LINEA A.DEL ESTADO;0;469;0;0;0;0;0;0;0;0
LAN PERU          ;A SANTIAGO;DE BUENOS AIRES    ;0;2;18.946;45.226;60.874;38.495;9;17;21;8
 ; ;DE CORDOBA         ;0;0;0;0;0;0;0;1;0;0
 ; ;DE ROSARIO, ARG.   ;0;0;0;0;0;0;3;7;0;0
 ; ;DE LIMA            ;59.259;22.640;52.755;63.007;77.252;95.739;190.004;85.391;95.921;194.738
 ; ;DE LA PAZ          ;0;0;28;108;15;669;1.303;481;2.127;3.856
 ; ;DE SANTA CRUZ, BOL.;0;0;80;63;0;170;838;672;767;788
 ; ;DE BRASILIA        ;0;0;0;0;0;58;221;0;0;0
 ; ;DE IGUASSU, BRASIL ;0;0;0;0;0;0;57;124;20;52
 ; ;DE SAO PAULO       ;0;0;0;0;3;13;62;142;447;429
 ; ;DE GUAYAQUIL       ;0;500;133;130;0;83;0;1.184;3.904;4
 ; ;DE QUITO           ;0;2.140;12.303;7.441;4.239;2.779;6.598;28.395;20.115;4.409
 ; ;DE BOGOTA          ;0;5.406;31.534;24.208;11.904;6.957;32.974;56.672;51.852;79.869
 ; ;DE CALI            ;0;0;0;0;1.430;2.467;7.061;4.954;5.299;4.067
 ; ;DE CARTAGENA, COL. ;0;0;0;0;64;113;2.874;0;0;0
 ; ;DE MEDELLIN        ;0;0;0;2.589;27;780;6.572;7.110;4.538;4.408
 ; ;DE CARACAS         ;0;7.577;35.456;25.118;505;613;34.951;49.060;34.088;15.467
 ; ;DE LA HAVANA       ;0;0;0;0;0;0;0;27.047;19.353;18.101
 ; ;DE PUNTA CANA, R.D.;0;0;0;0;168;4.577;20.128;59.830;20.429;5.623
 ; ;DE C. DE MEXICO    ;0;7;0;0;0;0;0;0;0;0
 ; ;DE CANCUN, MEX.    ;0;0;0;0;0;0;0;57.561;23.961;6.077
 ; ;DE LOS ANGELES     ;40.787;17.412;8.872;530;350;162;4.822;27.048;38.587;40.042
 ; ;DE LOS ANGELES, US.;0;0;0;0;0;0;0;0;0;7.076
 ; ;DE MIAMI           ;253;379;293;951;446;1.164;5.768;60.769;67.708;76.037
 ; ;DE NUEVA YORK      ;477;0;0;0;0;0;0;1.729;34.122;29.627
 ; ;DE SAN FRANCISCO US;0;0;0;0;0;191;8.280;46.321;48.716;15.053
 ; ;DE MADRID          ;0;0;0;803;4.113;2.174;11.674;36.885;72.218;58.455
 ;A ARICA;DE CUZCO, PERU     ;0;0;71;0;0;33;0;0;0;0
 ; ;DE LIMA            ;122;0;0;0;0;0;0;0;0;0
 ;A IQUIQUE;DE LOS ANGELES     ;0;1.535;0;0;0;0;0;0;0;0
TOTAL;INTERNACIONAL DE;LAN PERU          ;100.898;57.598;160.471;170.174;161.390;157.237;334.199;551.400;544.193;564.186
TACA-PERU         ;A SANTIAGO;DE LIMA            ;0;23.474;11.378;22.974;25.520;29.316;48.189;39.128;1.940;120
 ; ;DE GUAYAQUIL       ;0;9.488;1.583;8.027;7.430;8.642;12.787;13.928;0;0
 ; ;DE QUITO           ;0;12.489;1.539;9.010;7.176;9.751;15.124;16.931;0;0
 ; ;DE BOGOTA          ;0;11.989;1.537;10.358;8.192;7.513;18.993;18.440;0;0
 ; ;DE CALI            ;0;0;0;0;0;560;419;386;0;0
 ; ;DE MEDELLIN        ;0;0;0;0;143;627;502;421;0;0
 ; ;DE CARACAS         ;0;14.594;1.726;11.196;9.117;9.651;14.893;17.787;0;0
 ; ;DE SAN JOSE, C.R.  ;0;47.716;12.467;70.124;67.797;71.567;60.730;40.001;0;0
 ; ;DE LA HAVANA       ;0;0;3.116;29.958;31.631;39.932;43.654;43.099;0;0
 ; ;DE SANTO DOMINGO   ;0;0;2.563;20.342;16.680;34.252;34.755;38.875;0;0
 ; ;DE C. DE MEXICO    ;0;9.785;1.403;12.269;12.493;19.899;28.497;34.803;0;0
 ; ;DE CANCUN, MEX.    ;0;0;0;0;0;691;748;635;0;0
 ; ;DE LOS ANGELES     ;0;5.945;494;6.421;6.304;6.726;5.630;3.574;0;0
 ; ;DE MIAMI           ;0;2.309;1.025;7.012;7.112;7.870;31.489;46.964;0;0
 ; ;DE NUEVA YORK      ;0;9.154;1.152;6.923;7.598;8.528;6.594;4.272;0;0
 ;A ANTOFAGASTA;DE LIMA            ;0;0;0;0;0;0;5.533;0;0;0
TOTAL;INTERNACIONAL DE;TACA-PERU         ;0;146.943;39.983;214.614;207.193;255.525;328.537;319.244;1.940;120
LLOYD A. BOLIVIANO;A SANTIAGO;DE BUENOS AIRES    ;0;323;0;0;0;0;0;0;0;0
 ; ;DE CORDOBA         ;0;100;85;0;0;0;0;0;0;0
 ; ;DE COCHABAMBA      ;424;255;0;0;0;0;0;0;0;0
 ; ;DE LA PAZ          ;93;142;0;0;0;0;0;0;0;0
 ; ;DE SANTA CRUZ, BOL.;31.323;17.024;4.007;0;0;0;0;0;0;0
 ;A ARICA;DE LA PAZ          ;38;0;0;0;0;0;0;0;0;0
TOTAL;INTERNACIONAL DE;LLOYD A. BOLIVIANO;31.878;17.844;4.092;0;0;0;0;0;0;0
GOL TRANS         ;A SANTIAGO;DE BUENOS AIRES    ;0;18.915;81.683;54.182;49.580;50.706;52.974;46.624;0;0
 ; ;DE CORDOBA         ;0;0;213;0;0;0;0;0;0;0
 ; ;DE ROSARIO, ARG.   ;0;0;27;0;0;0;154;0;0;0
 ; ;DE LIMA            ;0;0;36.152;32.513;16.345;0;0;0;0;0
 ; ;DE BELO HORIZONTE  ;0;0;214;0;0;0;0;0;0;294
 ; ;DE BRASILIA        ;0;0;0;0;537;0;0;0;0;0
 ; ;DE FLORIANAPOLIS   ;0;1.989;2.773;3.398;0;0;0;0;0;0
 ; ;DE PORTO ALEGRE    ;0;1.788;7.042;5.197;60;114;30.015;30.376;0;0
 ; ;DE RIO DE JANEIRO  ;0;4.612;17.055;1.532;0;557;0;0;898;1.895
 ; ;DE SAO PAULO       ;0;14.936;118.476;23.213;3.247;150;1.538;336;328;126.580
 ; ;DE ASUNCION        ;0;0;0;0;0;0;207;0;0;0
 ; ;DE MONTEVIDEO      ;0;0;64;8;0;0;0;0;0;0
TOTAL;INTERNACIONAL DE;GOL TRANS         ;0;42.240;263.699;120.043;69.769;51.527;84.888;77.336;1.226;128.769
T.A.M. LINEAS AEREAS;A SANTIAGO;DE BUENOS AIRES    ;0;0;0;0;0;0;360;403;172;715
 ; ;DE CORDOBA         ;0;0;0;0;0;0;0;0;383;0
 ; ;DE MENDOZA         ;0;0;0;0;0;0;0;0;31;0
 ; ;DE BRASILIA        ;0;0;0;0;0;0;0;0;0;356
 ; ;DE FLORIANAPOLIS   ;0;1.272;0;0;0;0;0;0;0;0
 ; ;DE PORTO ALEGRE    ;0;0;0;0;0;0;0;0;0;209
 ; ;DE RIO DE JANEIRO  ;393;0;766;176;0;387;0;12.590;121.042;56.342
 ; ;DE RIO GRANDE, BRA.;0;0;0;0;0;0;0;0;0;426
 ; ;DE SAO PAULO       ;92.812;144.682;201.604;193.306;307.933;390.469;356.141;440.820;618.836;557.308
 ; ;DE ASUNCION        ;0;0;0;0;0;0;517;0;0;0
 ; ;DE GUAYAQUIL       ;140;0;0;0;0;0;0;0;0;0
TOTAL;INTERNACIONAL DE;T.A.M. LINEAS AEREAS;93.345;145.954;202.370;193.482;307.933;390.856;357.018;453.813;740.464;615.356
VARIG             ;A SANTIAGO;DE BUENOS AIRES    ;173;195;0;0;0;0;0;0;0;0
 ; ;DE CORDOBA         ;101;0;0;0;0;0;0;0;0;0
 ; ;DE MENDOZA         ;67;0;0;0;0;0;0;0;0;0
 ; ;DE BRASILIA        ;0;424;0;0;0;0;0;0;0;0
 ; ;DE PORTO ALEGRE    ;221;862;0;0;0;0;0;0;0;0
 ; ;DE RIO DE JANEIRO  ;10.571;11.129;0;0;0;0;0;0;0;0
 ; ;DE SALVADOR BAHIA  ;2.735;0;0;0;0;0;0;0;0;0
 ; ;DE SAO PAULO       ;278.616;110.806;0;0;0;0;0;0;0;0
 ; ;DE ASUNCION        ;0;215;0;0;0;0;0;0;0;0
TOTAL;INTERNACIONAL DE;VARIG             ;292.484;123.631;0;0;0;0;0;0;0;0
VRG LINHAS AEREAS ;A SANTIAGO;DE RIO DE JANEIRO  ;0;0;0;10.407;235;0;0;0;0;0
 ; ;DE SAO PAULO       ;0;0;4.565;91.160;28.148;0;0;0;0;0
TOTAL;INTERNACIONAL DE;VRG LINHAS AEREAS ;0;0;4.565;101.567;28.383;0;0;0;0;0
T.A.M.            ;A SANTIAGO;DE FLORIANAPOLIS   ;0;699;0;0;0;0;0;0;0;0
 ; ;DE NAVEGANTES BRA. ;0;117;0;0;0;0;0;0;0;0
 ; ;DE ASUNCION        ;33.578;42.654;35.584;23.644;24.456;25.059;26.693;32.466;31.406;35.400
 ; ;DE CIUDAD DEL ESTE ;558;2.808;0;11.576;133;0;0;0;0;0
 ; ;DE MONTEVIDEO      ;79;0;85;0;0;0;0;0;0;0
 ;A IQUIQUE;DE ASUNCION        ;128;423;0;0;0;0;0;0;0;0
TOTAL;INTERNACIONAL DE;T.A.M.            ;34.343;46.701;35.669;35.220;24.589;25.059;26.693;32.466;31.406;35.400
