TRAFICO INTERNACIONAL CON RELACION A CHILE;;;;;;;;;;;;
TRAFICO POR OPERADOR POR PARES DE CIUDADES;;;;;;;;;;;;
PASAJEROS LLEGADOS A CHILE;;;;;;;;;;;;
;;;;;;;;;;;;
OPERADOR;LLEGAN:;DESDE:;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014
 ; ;DE PAPEETE         ;7.314;7.795;6.912;6.640;6.921;6.538;3.397;3.726;3.437;4.106
 ;A CONCEPCION;DE BUENOS AIRES    ;0;33;0;0;0;0;0;0;0;0
 ; ;DE LIMA            ;0;0;8;0;0;0;0;106;0;0
 ; ;DE FLORIANAPOLIS   ;0;0;0;0;0;0;0;0;0;168
 ;A PUERTO MONTT;DE BARILOCHE       ;439;414;262;133;0;0;0;0;0;0
 ; ;DE PUERTO MADRYN   ;0;0;38;0;0;0;0;0;0;0
 ; ;DE USHUAIA, ARG.   ;440;593;383;0;0;0;0;0;0;0
 ; ;DE PTO.STANLEY     ;213;199;107;0;0;0;0;0;0;0
 ;A PUNTA ARENAS;DE PUERTO MADRYN   ;0;0;530;0;0;0;0;0;0;0
 ; ;DE RIO GALLEGOS ARG;0;0;43;0;6;36;5;6;8;9
 ; ;DE USHUAIA, ARG.   ;2.401;1.896;2.681;2.620;1.555;728;0;0;0;0
 ; ;DE SAO PAULO       ;202;0;0;0;0;0;0;0;0;0
 ; ;DE MOUNT PLEASANT  ;0;0;45;0;0;0;0;58;340;1.160
 ; ;DE PTO.STANLEY     ;867;873;1.102;1.505;1.513;1.681;1.565;1.430;1.453;749
TOTAL;INTERNACIONAL DE;LAN AIRLINES         ;1.106.645;1.146.449;1.299.395;1.272.762;1.168.515;1.262.795;1.492.706;1.867.278;1.791.421;1.833.893
LAN EXPRESS       ;A SANTIAGO;DE BARILOCHE       ;0;98;0;0;0;0;0;0;0;0
 ; ;DE BUENOS AIRES    ;0;0;0;0;0;0;158;3.829;0;0
 ; ;DE CORDOBA         ;0;0;0;0;0;0;98;0;0;0
 ; ;DE EL CALAFATE     ;0;0;0;0;0;0;136;0;0;0
 ; ;DE MENDOZA         ;0;0;0;0;12;0;0;0;0;0
 ; ;DE LIMA            ;0;0;0;0;0;0;0;3.384;0;0
 ; ;DE COCHABAMBA      ;0;0;0;0;121;0;0;0;0;0
 ; ;DE CUIABA, BRASIL  ;0;0;0;0;0;0;0;0;0;174
 ; ;DE RIO DE JANEIRO  ;28.239;30.294;30.290;28.340;34.243;31.658;31.564;0;0;0
 ; ;DE SALVADOR BAHIA  ;0;0;0;0;213;0;0;0;0;0
 ; ;DE SAO PAULO       ;36.567;36.981;37.592;44.112;34.125;35.895;40.280;0;0;0
 ; ;DE PTO.STANLEY     ;0;0;0;49;0;0;0;0;0;0
 ;A PUERTO MONTT;DE BARILOCHE       ;0;2;0;0;0;0;0;0;0;0
 ;A PUNTA ARENAS;DE PTO.STANLEY     ;0;0;0;19;0;0;0;0;0;0
