TRAFICO INTERNACIONAL CON RELACION A CHILE;;;;;;;;;;
TOTALES POR OPERADORES ANUALES;;;;;;;;;;
TRAFICO DE PASAJEROS LLEGADOS A CHILE;;;;;;;;;;
;;;;;;;;;;
OPERADORES;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014
ATLAS AIR INC.    ;32.407;21.211;69.154;47.214;91.287;103.949;125.186;184.995;234.929;219.416
CENTURION AIR CARGO;0;0;0;0;120.351;176.170;170.869;134.544;70.830;38.585
DELTA AIRLINES    ;57.897;47.391;48.707;66.428;56.133;58.050;85.597;98.003;94.460;65.666
POLAR AIR CARGO   ;120.082;135.330;149.954;93.703;0;0;0;0;0;0
UNITED AIRLINES   ;0;0;0;0;0;0;0;0;0;1.688
NORTEAMERICANAS   ;321.403;322.351;394.877;343.057;381.203;434.583;478.257;521.369;509.309;437.519
LUFTHANSA         ;40.836;11.889;0;0;0;0;0;0;0;0
AIR COMET         ;0;0;5.294;4.747;0;0;0;0;0;0
AIR EUROPA        ;0;0;0;0;0;0;0;0;0;2.481
AIR MADRID        ;4.581;5.968;0;0;0;0;0;0;0;0
IBERIA            ;63.371;74.016;82.074;72.178;73.849;85.722;86.539;70.278;82.031;49.835
AIR FRANCE        ;43.029;43.282;56.822;49.101;51.531;54.042;49.136;41.970;44.937;38.882
CARGOLUX AIRLINES ;34.308;37.611;41.670;39.164;33.389;24.099;476;383;25.065;51.791
SWISSAIR          ;0;15.819;29.633;32.269;8.108;0;0;0;0;0
K.L.M.            ;0;0;0;0;0;0;0;0;0;4.044
MARTINAIR HOLLAND ;68.059;78.685;75.872;79.462;107.749;114.474;138.698;151.598;141.094;121.618
EUROPEAS          ;254.184;267.270;291.365;276.921;274.626;278.337;274.849;264.229;293.127;268.651
QANTAS AIRWAYS    ;0;0;0;0;0;0;0;1.169;0;12.891
PACIFICO SUR      ;0;0;0;0;0;0;0;1.169;0;12.891
TOTAL GENERAL;1.519.675;1.537.054;1.759.151;1.717.861;1.447.914;1.635.518;1.679.370;1.767.226;1.730.925;1.697.811
