TRAFICO INTERNACIONAL CON RELACION A CHILE;;;;;;;;;;
TOTALES POR OPERADORES ANUALES;;;;;;;;;;
TRAFICO DE PASAJEROS LLEGADOS A CHILE;;;;;;;;;;
;;;;;;;;;;
OPERADORES;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014
VRG LINHAS AEREAS ;0;0;2.146;77.640;22.579;0;0;0;0;0
T.A.M.            ;40.766;52.223;39.591;38.124;27.129;29.027;34.092;39.714;36.741;44.675
BQB LINEAS AEREAS ;0;0;0;0;0;0;0;0;1.157;14.277
PLUNA             ;39.908;46.047;44.433;40.368;79.490;102.187;143.689;85.891;0;0
LAN ECUADOR       ;0;41.867;114.405;151.265;172.507;181.487;146.083;100.838;106.515;103.259
T.A.M.E.          ;0;0;0;0;0;0;405;0;210;0
AVIANCA           ;37.306;43.084;57.068;72.541;69.923;81.485;92.571;138.878;155.821;154.503
LAN COLOMBIA      ;0;0;0;0;0;0;0;0;24.288;95.143
L.A.C.S.A.        ;76.862;8.261;73.431;3.338;2.674;3.745;6.361;3.682;120.974;146.152
CUBANA DE AVIACION;0;0;0;75;0;0;0;0;0;0
C.O.P.A.          ;85.069;120.240;134.792;144.159;143.766;163.376;230.946;299.032;383.839;403.955
AEROMEXICO        ;34.109;38.576;42.048;32.505;33.072;31.151;42.718;52.821;30.056;53.969
LATINOAMERICANAS  ;937.933;919.814;1.334.483;1.291.638;1.409.806;1.592.542;1.750.096;1.870.219;1.993.272;2.156.509
AIR CANADA        ;69.742;73.430;78.485;115.207;88.764;110.200;123.366;145.251;131.733;118.314
AMERICAN AIRLINES ;196.682;217.254;226.600;223.161;214.000;219.227;231.815;253.429;261.199;266.968
DELTA AIRLINES    ;93.790;118.741;113.787;107.870;97.114;101.935;113.105;117.156;124.653;130.754
UNITED AIRLINES   ;0;0;0;0;0;0;0;0;0;8.327
NORTEAMERICANAS   ;360.214;409.425;418.872;446.238;399.878;431.362;468.286;515.836;517.585;524.363
LUFTHANSA         ;124.501;42.673;0;0;0;0;0;0;0;0
AIR COMET         ;0;0;45.916;33.822;0;0;0;0;0;0
AIR EUROPA        ;0;0;0;0;0;0;0;0;0;19.104
AIR MADRID        ;28.112;73.569;0;0;0;0;0;0;0;0
IBERIA            ;133.075;168.696;181.549;184.496;186.589;177.548;186.451;191.359;209.092;208.662
AIR FRANCE        ;110.365;137.341;119.824;135.381;132.800;134.310;174.423;210.261;221.334;208.375
SWISSAIR          ;0;51.716;90.602;121.925;29.701;0;0;0;0;0
K.L.M.            ;0;0;0;0;0;0;0;0;0;61.794
EUROPEAS          ;396.053;473.995;437.891;475.624;349.090;311.858;360.874;401.620;430.426;497.935
QANTAS AIRWAYS    ;0;0;0;0;0;0;0;51.059;98.020;101.736
PACIFICO SUR      ;0;0;0;0;0;0;0;51.059;98.020;101.736
TOTAL GENERAL;4.024.834;4.231.491;4.914.490;4.938.298;4.653.776;5.089.757;5.964.330;6.899.139;7.003.245;7.418.380
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
TRAFICO INTERNACIONAL CON RELACION A CHILE;;;;;;;;;;
TOTALES POR OPERADORES ANUALES;;;;;;;;;;
TRAFICO DE CARGA EN KILOS LLEGADAS A CHILE;;;;;;;;;;
;;;;;;;;;;
OPERADORES;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014
PAL AIRLINES;0;0;0;0;0;0;0;0;0;48
