TRAFICO INTERNACIONAL CON RELACION A CHILE;;;;;;;;;;;;;
TOTALES POR OPERADORES A„O 2017;;;;;;;;;;;;;
TRAFICO DE PASAJEROS LLEGADOS A CHILE;;;;;;;;;;;;;
;;;;;;;;;;;;;
OPERADORES;ENE;FEB;MAR;ABR;MAY;JUN;JUL;AGO;SEP;OCT;NOV;DIC;TOTAL
EUROPEAS          ;36.346;32.716;32.964;32.554;32.253;31.351;0;0;0;0;0;0;198.184
QANTAS AIRWAYS    ;6.923;5.085;5.885;5.320;3.885;3.774;0;0;0;0;0;0;30.872
PACIFICO SUR      ;6.923;5.085;5.885;5.320;3.885;3.774;0;0;0;0;0;0;30.872
TOTAL GENERAL;516.578;441.826;420.394;404.882;405.753;389.093;0;0;0;0;0;0;2.578.526
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
TRAFICO INTERNACIONAL CON RELACION A CHILE;;;;;;;;;;;;;
TOTALES POR OPERADORES A„O 2017;;;;;;;;;;;;;
TRAFICO DE PASAJEROS TOTALES (Llegados+Salidos) CON CHILE;;;;;;;;;;;;;
;;;;;;;;;;;;;
OPERADORES;ENE;FEB;MAR;ABR;MAY;JUN;JUL;AGO;SEP;OCT;NOV;DIC;TOTAL
AEROVIAS D.A.P.   ;1.305;1.542;280;134;147;0;0;0;0;0;0;0;3.408
CHILEJET S.A.     ;2.736;0;0;0;0;0;0;0;0;0;0;0;2.736
LATAM AIRLINES GROUP         ;412.623;372.803;404.679;353.713;362.428;346.943;0;0;0;0;0;0;2.253.189
LATAM AIRLINES CHILE       ;4.764;6.692;5.196;3.923;3.684;1.233;0;0;0;0;0;0;25.492
LATIN AMERICAN WINGS;8.535;11.524;11.505;12.156;12.633;14.108;0;0;0;0;0;0;70.461
ONE SPA           ;0;0;725;113;0;0;0;0;0;0;0;0;838
SKY AIRLINE       ;66.209;62.049;50.164;47.428;48.923;45.352;0;0;0;0;0;0;320.125
CHILENAS          ;496.172;454.610;472.549;417.467;427.815;407.636;0;0;0;0;0;0;2.676.249
AEROL. ARGENTINAS ;41.749;36.865;41.175;44.669;43.780;44.395;0;0;0;0;0;0;252.633
AUSTRAL           ;495;617;575;730;480;508;0;0;0;0;0;0;3.405
LATAM AIRLINES ARGENTINA     ;6.534;8.210;6.615;7.593;7.736;7.420;0;0;0;0;0;0;44.108
LATAM AIRLINES PERU          ;43.626;37.353;19.306;29.943;28.331;27.472;0;0;0;0;0;0;186.031
AMASZONAS S.A.    ;2.414;1.212;1.161;1.030;1.013;973;0;0;0;0;0;0;7.803
GOL TRANS         ;22.212;20.796;19.308;15.977;14.857;15.885;0;0;0;0;0;0;109.035
LATAM AIRLINES BRASIL;102.130;97.229;71.574;69.795;68.544;71.795;0;0;0;0;0;0;481.067
AMASZONAS PARAGUAY;836;829;1.001;833;1.416;1.519;0;0;0;0;0;0;6.434
LATAM AIRLINES PARAGUAY            ;3.346;3.155;3.249;3.965;4.025;4.069;0;0;0;0;0;0;21.809
LATAM AIRLINES ECUADOR       ;10.092;9.123;8.141;6.145;5.482;5.207;0;0;0;0;0;0;44.190
AVIANCA           ;28.990;25.355;25.530;23.964;27.832;25.102;0;0;0;0;0;0;156.773
L.A.C.S.A.        ;11.194;9.830;9.849;9.023;10.487;8.477;0;0;0;0;0;0;58.860
C.O.P.A.          ;48.695;43.769;38.029;37.906;41.805;39.319;0;0;0;0;0;0;249.523
AEROMEXICO        ;12.319;11.720;13.453;10.900;12.924;9.505;0;0;0;0;0;0;70.821
LATINOAMERICANAS  ;334.632;306.063;258.966;262.473;268.712;261.646;0;0;0;0;0;0;1.692.492
AIR CANADA        ;28.574;21.014;17.502;11.328;12.809;15.648;0;0;0;0;0;0;106.875
AMERICAN AIRLINES ;29.580;24.364;23.341;18.594;19.991;18.159;0;0;0;0;0;0;134.029
DELTA AIRLINES    ;11.475;10.430;10.995;9.185;9.732;8.783;0;0;0;0;0;0;60.600
UNITED AIRLINES   ;11.120;9.707;10.235;9.080;8.421;7.005;0;0;0;0;0;0;55.568
NORTEAMERICANAS   ;80.749;65.515;62.073;48.187;50.953;49.595;0;0;0;0;0;0;357.072
IBERIA            ;19.903;18.208;17.722;16.237;17.462;18.905;0;0;0;0;0;0;108.437
AIR FRANCE        ;22.228;20.067;20.729;18.099;18.321;19.342;0;0;0;0;0;0;118.786
ALITALIA          ;11.948;10.157;7.620;9.442;9.281;10.314;0;0;0;0;0;0;58.762
BRITISH AIRWAYS   ;6.088;6.030;6.477;4.889;5.415;5.873;0;0;0;0;0;0;34.772
K.L.M.            ;12.344;11.089;10.436;8.735;6.485;5.982;0;0;0;0;0;0;55.071
EUROPEAS          ;72.511;65.551;62.984;57.402;56.964;60.416;0;0;0;0;0;0;375.828
QANTAS AIRWAYS    ;13.528;10.494;11.745;10.583;7.770;7.858;0;0;0;0;0;0;61.978
PACIFICO SUR      ;13.528;10.494;11.745;10.583;7.770;7.858;0;0;0;0;0;0;61.978
TOTAL GENERAL;997.592;902.233;868.317;796.112;812.214;787.151;0;0;0;0;0;0;5.163.619
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
TRAFICO INTERNACIONAL CON RELACION A CHILE;;;;;;;;;;;;;
TOTALES POR OPERADORES A„O 2017;;;;;;;;;;;;;
TRAFICO DE CARGA EN KILOS LLEGADAS A CHILE;;;;;;;;;;;;;
;;;;;;;;;;;;;
OPERADORES;ENE;FEB;MAR;ABR;MAY;JUN;JUL;AGO;SEP;OCT;NOV;DIC;TOTAL
LATAM CARGO           ;580.724;675.559;1.025.392;1.069.526;1.137.165;1.060.299;0;0;0;0;0;0;5.548.665
LATAM AIRLINES GROUP         ;2.688.217;2.658.015;3.199.847;3.320.293;3.401.668;3.420.876;0;0;0;0;0;0;18.688.916
LATAM AIRLINES CHILE       ;5.555;9.740;32.763;42.099;24.499;19.432;0;0;0;0;0;0;134.088
SKY AIRLINE       ;13.448;13.043;9.477;18.725;23.043;8.407;0;0;0;0;0;0;86.143
CHILENAS          ;3.287.944;3.356.357;4.267.479;4.450.643;4.586.375;4.509.014;0;0;0;0;0;0;24.457.812
AEROL. ARGENTINAS ;16.779;22.627;20.363;20.425;28.285;23.912;0;0;0;0;0;0;132.391
LATAM AIRLINES ARGENTINA     ;8;4;38;0;157;0;0;0;0;0;0;0;207
LATAM AIRLINES PERU          ;34.434;31.844;9.072;43.152;22.882;16.316;0;0;0;0;0;0;157.700
LATAM CARGO BRASIL;296.154;297.170;461.718;447.895;511.620;443.970;0;0;0;0;0;0;2.458.527
GOL TRANS         ;27.516;53.669;47.648;48.763;46.668;36.608;0;0;0;0;0;0;260.872
OCEANAIR LINHAS AEREAS;428.027;351.217;427.383;411.523;448.952;374.351;0;0;0;0;0;0;2.441.453
LATAM AIRLINES BRASIL;297.040;381.294;306.955;169.962;333.577;358.570;0;0;0;0;0;0;1.847.398
LATAM AIRLINES PARAGUAY            ;9.422;9.953;6.257;3.189;15.947;7.920;0;0;0;0;0;0;52.688
LATAM AIRLINES ECUADOR       ;6.063;7.608;4.921;2.587;7.677;18.759;0;0;0;0;0;0;47.615
AVIANCA           ;219.333;279.387;245.381;321.164;268.857;277.404;0;0;0;0;0;0;1.611.526
L.A.C.S.A.        ;25.803;23.033;10.947;15.377;2.504;2.789;0;0;0;0;0;0;80.453
C.O.P.A.          ;0;0;5;0;7;0;0;0;0;0;0;0;12
AEROMEXICO        ;203.527;208.535;273.940;275.064;347.179;270.540;0;0;0;0;0;0;1.578.785
LATINOAMERICANAS  ;1.564.106;1.666.341;1.814.628;1.759.101;2.034.312;1.831.139;0;0;0;0;0;0;10.669.627
AIR CANADA        ;290.220;385.246;269.766;241.335;249.321;352.037;0;0;0;0;0;0;1.787.925
AMERICAN AIRLINES ;507.116;435.585;494.119;491.293;537.406;552.283;0;0;0;0;0;0;3.017.802
ATLAS AIR INC.    ;1.356.985;1.197.535;1.251.238;1.221.686;1.163.515;1.499.940;0;0;0;0;0;0;7.690.899
DELTA AIRLINES    ;47.463;52.389;45.112;46.664;41.601;54.358;0;0;0;0;0;0;287.587
FLORIDA WEST AIRLINES;241.965;313.279;0;0;0;0;0;0;0;0;0;0;555.244
SKY LEASE CARGO   ;915.923;782.628;806.676;609.996;298.540;325.597;0;0;0;0;0;0;3.739.360
UNITED AIRLINES   ;181.483;167.784;170.749;199.010;184.364;206.359;0;0;0;0;0;0;1.109.749
UPS UNITED PARCEL SERVICE;139.280;147.053;145.452;111.140;93.312;230.759;0;0;0;0;0;0;866.996
NORTEAMERICANAS   ;3.680.435;3.481.499;3.183.112;2.921.124;2.568.059;3.221.333;0;0;0;0;0;0;19.055.562
IBERIA            ;249.646;336.853;361.408;337.635;342.107;372.088;0;0;0;0;0;0;1.999.737
AIR FRANCE        ;175.582;93.197;160.082;189.946;199.398;134.851;0;0;0;0;0;0;953.056
ALITALIA          ;85.231;49.500;142.056;159.780;123.348;155.851;0;0;0;0;0;0;715.766
BRITISH AIRWAYS   ;40.732;40.559;71.621;115.979;178.027;127.210;0;0;0;0;0;0;574.128
K.L.M.            ;160.819;149.569;177.251;179.691;286.633;189.604;0;0;0;0;0;0;1.143.567
MARTINAIR HOLLAND ;546.122;552.409;618.816;618.397;633.621;509.598;0;0;0;0;0;0;3.478.963
EUROPEAS          ;1.258.132;1.222.087;1.531.234;1.601.428;1.763.134;1.489.202;0;0;0;0;0;0;8.865.217
KOREAN AIR        ;37.483;81.480;192.155;146.022;195.619;377.017;0;0;0;0;0;0;1.029.776
ASIATICAS         ;37.483;81.480;192.155;146.022;195.619;377.017;0;0;0;0;0;0;1.029.776
QANTAS AIRWAYS    ;137.364;88.601;135.282;111.206;114.725;111.610;0;0;0;0;0;0;698.788
PACIFICO SUR      ;137.364;88.601;135.282;111.206;114.725;111.610;0;0;0;0;0;0;698.788
TOTAL GENERAL;9.965.464;9.896.365;11.123.890;10.989.524;11.262.224;11.539.315;0;0;0;0;0;0;64.776.782
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
TRAFICO INTERNACIONAL CON RELACION A CHILE;;;;;;;;;;;;;
TOTALES POR OPERADORES A„O 2017;;;;;;;;;;;;;
TRAFICO DE CARGA EN KILOS SALIDAS DESDE CHILE;;;;;;;;;;;;;
;;;;;;;;;;;;;
OPERADORES;ENE;FEB;MAR;ABR;MAY;JUN;JUL;AGO;SEP;OCT;NOV;DIC;TOTAL
LATAM CARGO           ;1.275.108;839.079;552.613;566.933;695.509;432.148;0;0;0;0;0;0;4.361.390
LATAM AIRLINES GROUP         ;5.881.924;5.372.587;5.232.296;5.344.304;4.940.734;4.713.618;0;0;0;0;0;0;31.485.463
LATAM AIRLINES CHILE       ;13.310;35.317;61.667;10.007;49.045;29.876;0;0;0;0;0;0;199.222
SKY AIRLINE       ;30.779;33.538;41.486;43.490;52.828;65.203;0;0;0;0;0;0;267.324
CHILENAS          ;7.201.121;6.280.521;5.888.062;5.964.734;5.738.116;5.240.845;0;0;0;0;0;0;36.313.399
AEROL. ARGENTINAS ;8.500;7.385;3.963;15.710;13.868;22.476;0;0;0;0;0;0;71.902
AUSTRAL           ;0;0;0;270;797;0;0;0;0;0;0;0;1.067
LATAM AIRLINES ARGENTINA     ;397;181;54;0;1;0;0;0;0;0;0;0;633
LATAM AIRLINES PERU          ;251;353;417;882;115;736;0;0;0;0;0;0;2.754
LATAM CARGO BRASIL;585.038;674.012;790.719;774.273;752.920;752.797;0;0;0;0;0;0;4.329.759
GOL TRANS         ;8.104;3.277;5.729;6.987;951;2.851;0;0;0;0;0;0;27.899
OCEANAIR LINHAS AEREAS;580.252;591.211;481.017;315.516;348.234;288.929;0;0;0;0;0;0;2.605.159
LATAM AIRLINES BRASIL;620.286;538.886;400.527;254.962;500.383;562.568;0;0;0;0;0;0;2.877.612
LATAM AIRLINES PARAGUAY            ;15.525;9.847;16.311;8.997;16.473;19.830;0;0;0;0;0;0;86.983
LATAM AIRLINES ECUADOR       ;5.940;2.397;4.742;1.841;4.440;6.337;0;0;0;0;0;0;25.697
AVIANCA           ;315.332;277.246;231.714;186.000;209.289;328.416;0;0;0;0;0;0;1.547.997
L.A.C.S.A.        ;22.925;11.112;19.076;15.164;9.682;11.100;0;0;0;0;0;0;89.059
