TRAFICO NACIONAL;;;;;;;;;;;;
TRAFICO POR OPERADOR POR PARES DE CIUDADES;;;;;;;;;;;;
PASAJEROS LLEGADOS;;;;;;;;;;;;
;;;;;;;;;;;;
OPERADOR;LLEGAN:;DESDE:;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014
 ; ;DE TEMUCO          ;0;0;1;0;0;0;0;0;0;0
 ; ;DE OSORNO          ;49;6;0;0;0;0;0;0;0;0
 ; ;DE PUERTO MONTT    ;0;58;7;0;0;0;0;0;0;0
 ; ;DE VALDIVIA        ;0;0;15;28;0;0;0;0;0;0
 ; ;DE BALMACEDA       ;0;0;69;0;0;0;0;0;0;0
 ; ;DE PUNTA ARENAS    ;0;0;0;0;0;0;0;17;0;0
 ;A TEMUCO;DE OSORNO          ;3.915;2.793;0;0;0;0;0;0;0;0
 ; ;DE VALDIVIA        ;4;0;0;0;0;0;0;0;0;0
 ; ;DE BALMACEDA       ;1.880;1.857;1.096;230;142;0;21;98;0;0
 ;A PUERTO MONTT;DE TEMUCO          ;83;0;257;222;244;0;0;0;0;0
 ; ;DE CASTRO          ;0;0;0;0;0;0;0;0;6.718;6.250
 ; ;DE VALDIVIA        ;0;3;6;0;0;0;0;0;0;0
 ; ;DE BALMACEDA       ;13.491;12.826;14.983;16.600;38.048;40.215;30.407;38.558;45.951;45.695
 ; ;DE PUNTA ARENAS    ;11.284;10.173;3.162;0;48;10.030;5.683;46.585;11.193;6.339
 ;A VALDIVIA;DE BALMACEDA       ;0;0;0;0;0;0;90;125;0;0
 ;A BALMACEDA;DE PUNTA ARENAS    ;0;122;0;13;0;230;0;0;0;0
TOTAL;NACIONAL DE;LAN AIRLINES         ;182.261;173.768;131.407;151.519;571.221;861.431;1.042.636;1.194.448;1.407.718;1.348.502
LAN EXPRESS       ;A SANTIAGO;DE ARICA           ;45.093;52.229;70.304;81.492;77.412;64.813;65.284;131.953;124.060;161.684
 ; ;DE IQUIQUE         ;85.500;89.868;116.537;141.923;118.011;87.121;100.889;119.676;94.967;74.937
 ; ;DE ANTOFAGASTA     ;127.527;120.489;152.332;210.567;163.458;152.227;173.341;224.422;240.136;290.201
 ; ;DE CALAMA          ;93.452;95.219;108.874;135.770;53.303;17.734;4.642;24.445;151.053;228.161
 ; ;DE COPIAPO         ;35.904;29.587;42.148;68.034;71.637;86.416;120.822;157.750;165.870;130.910
 ; ;DE EL SALVADOR     ;6.226;5.636;4.287;0;0;0;0;0;0;0
 ; ;DE LA SERENA       ;56.507;64.500;85.622;115.705;120.445;142.428;164.283;175.924;189.492;172.861
 ; ;DE ISLA DE PASCUA  ;0;0;0;0;0;1.415;0;0;0;0
 ; ;DE CHILLAN         ;485;342;0;0;0;0;0;0;0;0
 ; ;DE CONCEPCION      ;146.904;154.001;195.528;225.774;233.398;260.898;298.895;333.374;324.691;318.827
 ; ;DE PUCON           ;1.442;957;1.189;1.400;0;926;1.725;1.535;0;0
 ; ;DE TEMUCO          ;56.490;57.774;78.775;99.332;79.950;122.725;137.874;155.375;113.511;143.562
 ; ;DE CASTRO          ;0;0;0;0;0;0;0;3.127;0;98
 ; ;DE OSORNO          ;20.175;20.424;35.941;23.240;53.814;49.030;51.657;31.198;41.429;36.050
 ; ;DE PUERTO MONTT    ;79.306;83.228;134.086;175.816;164.558;121.273;136.432;251.380;266.297;287.681
 ; ;DE VALDIVIA        ;27.032;27.078;34.289;45.701;27.610;52.680;59.811;44.719;41.544;44.298
 ; ;DE BALMACEDA       ;18.472;20.680;25.925;27.970;12.826;26.510;43.823;67.875;64.126;77.969
 ; ;DE PUNTA ARENAS    ;65.475;72.941;122.337;123.638;128.731;135.758;115.519;99.506;78.427;118.452
 ;A ARICA;DE IQUIQUE         ;15.613;20.536;18.316;13.182;10.454;14.090;13.616;17.536;15.994;13.482
 ; ;DE ANTOFAGASTA     ;6.785;7.358;3.441;337;0;0;0;0;0;0
 ; ;DE CALAMA          ;0;0;0;179;0;0;0;0;0;0
 ; ;DE COPIAPO         ;264;213;215;558;436;393;538;200;0;0
 ; ;DE LA SERENA       ;810;993;680;0;0;0;0;0;0;0
 ;A IQUIQUE;DE CALAMA          ;44;44;1.975;5.008;177;230;144;0;0;136
 ; ;DE COPIAPO         ;419;266;383;620;767;438;492;324;0;0
 ; ;DE LA SERENA       ;6.127;6.280;6.727;1.360;0;21;42;0;0;0
 ;A ANTOFAGASTA;DE IQUIQUE         ;23.908;23.081;18.511;20.098;27.759;32.507;33.446;36.020;51.966;29.175
